PN_CODE,PN_DESC,PN_DPTH,PN_HT,PPCK_CST,PHRC_CST,PCRC_CST,PBF_CST,PEPX_CST,PN_SHUT,PN_SHRD,LABOUR
1BD14,"S.FRONT, BOTTOM ENTRY, D/O, Upto 1440 A",500 mm,130.00,3000.00,8180.00,18200.00,1350.50,0.00,413.00,100.00,2111.00
1BD16,"S.FRONT, BOTTOM ENTRY, D/O, 1600 A",750 mm,137.00,3000.00,9200.08,22050.00,1480.00,0.00,413.00,100.00,2638.00
1BD22,"S.FRONT, BOTTOM ENTRY, D/O, 2250 A",750 mm,173.00,3000.00,9200.00,22050.00,1739.00,0.00,413.00,100.00,3000.00
1BD25,"S.FRONT, BOTTOM ENTRY, D/O, 2500 A",750 mm,173.00,3000.00,9200.00,22050.00,1739.00,0.00,413.00,100.00,3000.00
1BD32,"S.FRONT, BOTTOM ENTRY, D/O, 3200 A",1000 mm,173.00,4000.00,9860.00,23240.00,1739.00,0.00,413.00,100.00,3000.00
1BF14,"S.FRONT, BOTTOM ENTRY, FXD., Upto 1440 A",500 mm,130.00,3000.00,5960.00,16380.00,1350.50,0.00,0.00,100.00,2004.00
1BF16,"S.FRONT, BOTTOM ENTRY, FXD., 1600 A",750 mm,137.00,3000.00,6550.00,19740.00,1480.00,0.00,0.00,100.00,2500.00
1BF22,"S.FRONT, BOTTOM ENTRY, FXD., 2250 A",750 mm,173.00,3000.00,6550.00,19740.00,1739.00,0.00,0.00,100.00,2900.00
1BF25,"S.FRONT, BOTTOM ENTRY, FXD., 2500 A",750 mm,173.00,3000.00,6550.00,19740.00,1739.00,0.00,0.00,100.00,2900.00
1BF32,"S.FRONT, BOTTOM ENTRY, FXD., 3200 A",1000mm,173.00,4000.00,7370.00,21420.00,1739.00,0.00,0.00,100.00,2900.00
1TD14,"S.FRONT, TOP ENTRY, D/O, Upto 1440 A",700 mm,130.00,3000.00,8810.00,19656.00,1480.00,0.00,413.00,100.00,2575.00
1TD16,"S.FRONT, TOP ENTRY, D/O, 1600 A",700 mm,137.00,3000.00,8810.00,23814.00,1739.00,0.00,413.00,100.00,3000.00
1TD22,"S.FRONT, TOP ENTRY, D/O, 2250 A",1000 mm,173.00,4000.00,9860.00,23814.00,1739.00,0.00,413.00,100.00,3500.00
1TD25,"S.FRONT, TOP ENTRY, D/O, 2500 A",1200 mm,173.00,4000.00,10490.00,25099.20,1739.00,0.00,413.00,100.00,3500.00
1TD32,"S.FRONT, TOP ENTRY, D/O, 3200 A",1200mm,173.00,4000.00,10490.00,25099.20,1864.80,0.00,413.00,100.00,3500.00
1TF14,"S.FRONT, TOP ENTRY, FXD., Upto 1440 A",700 mm,130.00,3000.00,6550.00,17690.40,1480.00,0.00,0.00,100.00,2475.00
1TF16,"S.FRONT, TOP ENTRY, FXD., 1600 A",700 mm,137.00,3000.00,6550.00,21319.20,1739.00,0.00,0.00,100.00,2825.00
1TF22,"S.FRONT, TOP ENTRY, FXD., 2250 A",1000 mm,173.00,4000.00,7370.00,21319.20,1864.80,0.00,0.00,100.00,3375.00
1TF25,"S.FRONT, TOP ENTRY, FXD., 2500 A",1200 mm,173.00,4000.00,7890.00,23133.60,1864.80,0.00,0.00,100.00,3375.00
1TF32,"S.FRONT, TOP ENTRY, FXD., 3200 A",1200mm,173.00,4000.00,7890.00,23133.60,1864.80,0.00,0.00,100.00,3375.00
2BD14,"D.FRONT, BOTTOM ENTRY, D/O, Upto 1440 A",1000 mm,273.00,4500.00,13420.00,29890.00,1739.00,0.00,825.00,300.00,3919.00
2BD16,"D.FRONT, BOTTOM ENTRY, D/O, 1600 A",1000 mm,273.00,4500.00,13420.00,29890.00,1739.00,0.00,825.00,300.00,3919.00
2BD22,"D.FRONT, BOTTOM ENTRY, D/O, 2250 A",1200 mm,283.00,5000.00,14080.00,32480.00,1864.80,0.00,825.00,300.00,4070.00
2BD25,"D.FRONT, BOTTOM ENTRY, D/O, 2500 A",1200 mm,283.00,5000.00,14080.00,32480.00,1864.80,0.00,825.00,300.00,4070.00
2BD32,"D.FRONT, BOTTOM ENTRY, D/O, 3200 A",1200 mm,283.00,5000.00,14080.00,32480.00,1864.80,0.00,825.00,300.00,4070.00
2BF14,"D.FRONT, BOTTOM ENTRY, FXD., Upto 1440 A",1000 mm,273.00,4500.00,9520.00,26600.00,1739.00,0.00,0.00,300.00,3540.00
2BF16,"D.FRONT, BOTTOM ENTRY, FXD., 1600 A",1000 mm,273.00,4500.00,9520.00,26600.00,1739.00,0.00,0.00,300.00,3540.00
2BF22,"D.FRONT, BOTTOM ENTRY, FXD., 2250 A",1200 mm,283.00,5000.00,10220.00,28280.00,1864.80,0.00,0.00,300.00,3693.00
2BF25,"D.FRONT, BOTTOM ENTRY, FXD., 2500 A",1200 mm,283.00,5000.00,10220.00,28280.00,1864.80,0.00,0.00,300.00,3693.00
2BF32,"D.FRONT, BOTTOM ENTRY, FXD., 3200 A",1200 mm,283.00,5000.00,10220.00,28280.00,1864.80,0.00,0.00,300.00,3693.00
2TD14,"D.FRONT, TOP ENTRY, D/O, Upto 1440 A",1200 mm,273.00,5000.00,14080.00,32281.20,1864.80,0.00,825.00,300.00,4070.00
2TD16,"D.FRONT, TOP ENTRY, D/O, 1600 A",1200 mm,273.00,5000.00,14080.00,32281.20,1864.80,0.00,825.00,300.00,4070.00
2TD22,"D.FRONT, TOP ENTRY, D/O, 2250 A",1400 mm,283.00,5500.00,14690.00,32281.20,2164.50,0.00,825.00,300.00,4500.00
2TD25,"D.FRONT, TOP ENTRY, D/O, 2500 A",1400 mm,283.00,5500.00,14690.00,35078.40,2164.50,0.00,825.00,300.00,4500.00
2TD32,"D.FRONT, TOP ENTRY, D/O, 3200 A",1400 mm,283.00,5500.00,14690.00,35078.40,2164.50,0.00,825.00,300.00,4500.00
2TF14,"D.FRONT, TOP ENTRY, FXD., Upto 1440 A",1200 mm,273.00,5000.00,10220.00,28728.00,1864.80,0.00,0.00,300.00,3693.00
2TF16,"D.FRONT, TOP ENTRY, FXD., 1600 A",1200 mm,273.00,5000.00,10220.00,28728.00,1864.80,0.00,0.00,300.00,3693.00
2TF22,"D.FRONT, TOP ENTRY, FXD., 2250 A",1400 mm,283.00,5500.00,10810.00,28728.00,2164.50,0.00,0.00,300.00,4000.00
2TF25,"D.FRONT, TOP ENTRY, FXD., 2500 A",1400 mm,283.00,5500.00,10810.00,30542.40,2164.50,0.00,0.00,300.00,4000.00
2TF32,"D.FRONT, TOP ENTRY, FXD., 3200 A",1400 mm,283.00,5500.00,10810.00,30542.40,2164.50,0.00,0.00,300.00,4000.00
PCC,PCC,1500 mm,1407.00,6000.00,11630.00,24850.00,2164.50,0.00,0.00,1000.00,3087.00
PDUM,DUMMY PANEL-PCC,1500 mm,760.00,6000.00,11630.00,24850.00,2164.50,0.00,0.00,450.00,3060.00
PRL4,RELAY PANEL-PCC 400,1500 mm,0.00,1500.00,5815.00,5200.00,1200.00,0.00,0.00,0.00,1000.00
PRL8,RELAY PANEL-PCC 800,1500 mm,0.00,3000.00,11630.00,10500.00,1800.00,0.00,0.00,0.00,1500.00
VBBC,VERTICAL BUS BAR,400 mm,260.00,1560.00,3800.00,8260.00,1350.50,0.00,0.00,100.00,990.00
PCC1,PCC1,1200 mm,620.00,6000.00,0.00,24850.00,1.00,0.00,0.00,800.00,2415.00
PCC2,PCC2,1500 mm,1407.00,6000.00,0.00,24850.00,1.00,0.00,0.00,800.00,3255.00
PCC3,PCC3,1700 mm,1407.00,6000.00,0.00,26250.00,1.00,0.00,0.00,1000.00,4620.00
